feature,weight
action_count,1.2671268678295522
financial_count,0.937577390413962
reward_count,0.9141088502799878
negative_count,0.903933176384565
emotion_intensity,0.864367656949066
num_urls,0.8430033126127546
urgency_count,0.7669723876272566
threat_count,0.6814190455554064
positive_count,0.5612983579207359
credential_count,0.4131042422916181
num_digits,0.2452171656918418
avg_token_length,0.034529609907977196
num_emails,0.0
question_count,0.0
exclamation_count,0.0
authority_count,-0.0837689573754014
char_count,-0.14122289742183322
token_count,-0.3107071062803954
uppercase_ratio,-0.39967236243059545
sentiment_balance,-0.5927214405312432
trust_count,-0.6313635274931662
